text,final_label
"RT @SSNAlerts: Rick Scott takes 49% of vote, Charlie Crist takes 46%. Scott wins second term: http://t.co/MmkyGCYVG1 #sayfie #FlaPol http:/&#8230;",3
@KimW16 quit being a baby & hit that patchouli pussy!,1
@Pulse_Clarky @PulseMynx @FaZeClan @Testyment This shit was wholesome,2
Stupid fucking cunt,1
@_BeautifulKeezy yess bitch. Messyyy,1
These bitches fake one min talking about a hoe next min bestfriends with the hoe,1
I openly admit to being the level of white trash that will drive across town to the gas station with free hot dogs &amp; half price drinks.,3
RT @Durags4Eva: Bulls still not winning the title with this bland ass offense. Pau still a pussy. No darkskin niggas in the starting line u&#8230;,1
RT @LenaSxo: Museum date???? Coffee shop date???? Art gallery date???? Walk in the park date???? Late night walk date???? Nap time date???…,3
Tell that hating ass niggah to shut the fuck up,1
Nipple banana monkey!,3
"RT @Heissarcastic: If my jokes offend you:

1) I'm sorry
2) It won't happen again
3) 1 &amp; 2 are lies
4) You're a pussy
5) Your Mom hates you&#8230;",1
&#8220;@M94Rx: Sometimes I hate AZ &amp; sometimes I love it. Depends on the time of year I guess.&#8221; &amp; the dumb bitches that live here,1
RT @Mana_Bananas: Lol my wall of trust is so thick now. If I'm the biggest bitch you've ever met. You'll know why ;*,1
@yukheithrusts You’re welcome~,3
RT @ImaSavageBruh: bitch got me acting crazy as hell lately,1
"Don't touch no sloppy hoes, You might catch somethin..",1
I learnt about birds as a child. Best time to learn @BBCRadio2,3
@WalshFreedom Because he thinks he is the president’s lawyer and not the AG for the American People. #TrumpIsATraitor #TrumpMustResign,3
@natacchelpline Who does the voice over for your advert because he has the exact same voice as Ian Huntley and I think of him every time I hear it. #murderer #NationalAccidentHelpline,3
"!!!!!!!!!!!!!!!!!!""@T_Madison_x: The shit just blows me..claim you so faithful and down for somebody but still fucking with hoes! &#128514;&#128514;&#128514;""",1
Spectacular Win over Australia #TeamIndia   The captain and players has worked hard to defeat the Australian Team.  Also #DhoniKeepsTheGlove!!  #INDvAUS #CWC19 #WorldCup2019 #ViratKohli #ICCWorldCup2019     @BCCI @ICC @cricketworldcup,3
Quit talking shit you fucking faggot. You're seriously just mad bc no one wants you. Who the fuck do you even think you are?,1
L O O K AT HIS ARMS THEYRE SO BUFF https://t.co/QEZqNlmdsz,3
Goodnight bitches (with a lisp),1
Winn Dixie is for real niggaz publix is for pussies,1
"RT @_naptural_: ""@NoBeeetch: When you drop all your hoes for the wrong one and you gotta bring em back http://t.co/vUBKmFQyAJ"" LMFAOOOOOOO",1
#StayStrongDelhiSikhs #ISupportDelhiSikhs and yeah #FuckDelhiPolice  Yeh le tag bhi kar diya @DelhiPolice you will get international protests and be exposed soon.,2
RT @jennydigi: @thotpockets &#9995;&#11088;&#65039;bitch,1
@Dietrich1892 I'll show up and chug a beer or 8,3
RT @RealKidLegend: Being a hoe means FUCKIN a lot of people NOT TALKING to a lot of people! Y'all mufuckas be having shit mixed up! &#128530;&#9995;&#128175;,1
@garrett_winker wow u hoe is the term for women,0
@alexisxisabel death to attention hoes,1
RT @MicheleBachmann: Charlie Rangel should apologize to tea party members. I'll set up meetings so he can explain his outrageous comments. &#8230;,3
RT @SayrayArriaga: Pics or it didn't happen. Or you're the side bitch.,1
RT @CHlLDHOODRUINER: gotta keep these hoes on point http://t.co/gWeFICReBH,1
@djfeds lmao yeah bitch that lil shit ripped .!,1
I’m weak lmfaoooo,3
@realDonaldTrump Thanks for 'exposing' Jon Stewart as Jewish #bigot #douchebag,0
"RT @almostkanye: Nights like this I wish, ride low in the Chevy hit the switch. In the city burning killa with a bitch",1
"They are not human n they have no right to live in our society, u know wht, it boils d single drop of blood whn u hear rape of 2 year, 3 year , 5 year , 8 year old kids ...😔😣  #KathuaRapeVerdict   #twincle  #rapist  #justice  #hangRapist  😣😐😔",1
RT @TaylorGrisbhy: Nothing is wrong wit staying down here to work at the plant.These little minded bitches need 2 fuckin stop being judgmen&#8230;,1
RT @FunnyPicsDepot: this bitch at the mall shaped like mr. incredible http://t.co/L8CuVNznWm,1
@vbyrd_32 dam this hoes should be working at Microsoft,1
Tellin me im disrespectful but i aint the one callin everybody a bitch for free,1
Catch me on the episode of Vampire Diaries tomorrow night. I bitch slap @KatGraham,1
RT @asap_marlene: &#128546; a bitch that don't like you always gone think you ugly. &#128514;&#128513;&#128564;,1
"@AidaApple14 imma bitch i know , leave me alone",1
"""No bitches "" - nan",1
RT @Icewataa: You fuck a girl longer then 30 min &amp; you still aint bust...she gotta busted loose ass pussy...,1
RT @Beard_KW: LMFAOOOOO RT @RealRaymondJ: Which one of y'all toothless hoes made this? &#128553;&#128514; http://t.co/q1YV6rhL0L,1
RT @PacDaGoat: You a hoe if you give your number to another nigga while you got a man,0
RT @adeleoutdid: Adele saying that she’s the BOSS is a big mood.  https://t.co/6ytZwd4NvF,3
I'm sick of you hoes for real I got somebody that looks up to me so I ain't bout no pussy shit.,1
RT @KINGTUNCHI_: I don't understand if all these hoes say they getting money why tf they on twitter with that childish shit!! Bitch it's 20&#8230;,1
@ICC @Bazmccullum @PathakRidhima The darkest worldcup ...... No fresh competition #ShameOnICC,3
Uranus springs to mind for some reason reading the Twump tweets  #douchebag https://t.co/WgIVDmFqBz,3
LEADERSHIP CONTEST    If I were Boris I'd l steer clear. Let the BBC suck these neverwozzers into slagging each other off on TV &amp; turning it into a media circus. It's what they're good at.  #BorisJohnsonShouldNotBePM  #leadershiphustings https://t.co/F2XDb1h2oE,2
RT @souljaboy: K Michelle pussy smell like shit,1
@chriscurtis410 I agree the fat bitches the only girls left not gettin passed around,1
@VinniePolitan kill the coons!!!!!!,0
"@santagati that's bc I deleted ""visionary"" once I saw your subtweet. next time just @ me tho. (and I do love jail bird dresses.&#128513;)",3
@realDonaldTrump You’re no brains. Free speech.   Here’s more:  #TrumpIsACriminal   #TrumpObstructedJustice   #TrumpIsATraitor   #TrumpIsAMoron   Many people are saying........,1
"@elSeanoMac @targarcyn I am not, saw it coming miles away, heck you saw that character going insane (small hints of… https://t.co/HGunrQv51X",3
I see u jigga!!!! Hillary $wankin,3
RT @TerryisBetter: What faggot complained about stretch marks?!? My nigga them shits taste like the swirls on cinnamon toast crunch http://&#8230;,1
"RT @annford: “If you give up, nothing will eve get better in our country, or our world” - Senator Jennifer McClellen #VSUGrad2K19",3
RT @Vaeflare: ...Because sometimes you just need a moment to appreciate a noble guinea pig with steampunk dragon wings. http://t.co/SeRyx9v&#8230;,3
